"scientificName","decimalLatitude","decimalLongitude","genericName"
"Phoca vitulina Linnaeus, 1758",56.27899,10.82636,"Phoca"
"Capreolus capreolus (Linnaeus, 1758)",55.20388,11.36905,"Capreolus"
"Felis catus Linnaeus, 1758",56.15393,10.16087,"Felis"
"Sciurus vulgaris Linnaeus, 1758",55.80813,12.56612,"Sciurus"
"Sciurus vulgaris Linnaeus, 1758",55.4396,12.198,"Sciurus"
"Lepus capensis Linnaeus, 1758",55.92116,8.38926,"Lepus"
"Capreolus capreolus (Linnaeus, 1758)",55.88665,11.96928,"Capreolus"
"Capreolus capreolus (Linnaeus, 1758)",55.98947,12.51341,"Capreolus"
"Sciurus vulgaris Linnaeus, 1758",55.44196,11.55816,"Sciurus"
"Sciurus vulgaris Linnaeus, 1758",55.72621,12.56648,"Sciurus"
"Dama dama (Linnaeus, 1758)",54.79254,11.24908,"Dama"
"Capreolus capreolus (Linnaeus, 1758)",55.46404,11.86319,"Capreolus"
"Dama dama (Linnaeus, 1758)",54.8611,10.73081,"Dama"
"Capreolus capreolus (Linnaeus, 1758)",55.19607,10.44585,"Capreolus"
"Lynx lynx (Linnaeus, 1758)",59.611919,8.975107,"Lynx"
"Lynx lynx (Linnaeus, 1758)",69.597595,19.968721,"Lynx"
"Gulo gulo (Linnaeus, 1758)",62.148358,7.447832,"Gulo"
"Lynx lynx (Linnaeus, 1758)",64.846356,13.034252,"Lynx"
"Lynx lynx (Linnaeus, 1758)",60.919947,9.354537,"Lynx"
"Lynx lynx (Linnaeus, 1758)",62.82368,9.896196,"Lynx"
"Tragelaphus scriptus (Pallas, 1766)",12.524519,2.718088,"Tragelaphus"
"Civettictis civetta (Schreber, 1776)",12.41795,2.75126,"Civettictis"
"Sciurus vulgaris Linnaeus, 1758",63.5629,11.946282,"Sciurus"
"Sciurus vulgaris Linnaeus, 1758",58.374602,8.653591,"Sciurus"
"Sciurus vulgaris Linnaeus, 1758",59.542055,10.250253,"Sciurus"
"Alces alces (Linnaeus, 1758)",60.644108,10.378296,"Alces"
"Sciurus vulgaris Linnaeus, 1758",63.205236,10.250606,"Sciurus"
"Felis catus Linnaeus, 1758",63.077344,7.653826,"Felis"
"Sciurus vulgaris Linnaeus, 1758",59.012586,11.530619,"Sciurus"
"Sciurus vulgaris Linnaeus, 1758",67.917257,15.186228,"Sciurus"
"Vulpes vulpes (Linnaeus, 1758)",61.31539,7.201075,"Vulpes"
"Sciurus vulgaris Linnaeus, 1758",63.41406,11.742977,"Sciurus"
"Sciurus vulgaris Linnaeus, 1758",59.871325,10.500662,"Sciurus"
"Apodemus sylvaticus (Linnaeus, 1758)",60.135065,11.398149,"Apodemus"
"Sciurus vulgaris Linnaeus, 1758",60.184259,12.171605,"Sciurus"
"Vulpes vulpes (Linnaeus, 1758)",68.407124,17.413959,"Vulpes"
"Sciurus vulgaris Linnaeus, 1758",59.758919,10.028399,"Sciurus"
"Sciurus vulgaris Linnaeus, 1758",60.135873,11.204261,"Sciurus"
"Felis catus Linnaeus, 1758",63.136444,8.523542,"Felis"
"Alces alces (Linnaeus, 1758)",68.616007,14.475751,"Alces"
"Sciurus vulgaris Linnaeus, 1758",59.611371,8.514073,"Sciurus"
"Capreolus capreolus (Linnaeus, 1758)",62.747918,7.189472,"Capreolus"
"Sciurus vulgaris Linnaeus, 1758",59.951736,6.593979,"Sciurus"
"Felis catus Linnaeus, 1758",59.268795,10.764762,"Felis"
"Sciurus vulgaris Linnaeus, 1758",62.212454,9.765471,"Sciurus"
"Sciurus vulgaris Linnaeus, 1758",60.194814,9.243472,"Sciurus"
"Alces alces (Linnaeus, 1758)",63.537828,10.088635,"Alces"
"Sciurus vulgaris Linnaeus, 1758",61.766042,5.257142,"Sciurus"
"Capreolus capreolus (Linnaeus, 1758)",63.394683,11.800985,"Capreolus"
"Sciurus vulgaris Linnaeus, 1758",62.590947,9.699492,"Sciurus"
"Sciurus vulgaris Linnaeus, 1758",63.353206,10.250666,"Sciurus"
"Sciurus vulgaris Linnaeus, 1758",66.310541,14.265142,"Sciurus"
"Sciurus vulgaris Linnaeus, 1758",59.668964,9.669869,"Sciurus"
"Sciurus vulgaris Linnaeus, 1758",58.465515,8.825116,"Sciurus"
"Sciurus vulgaris Linnaeus, 1758",59.930236,11.348573,"Sciurus"
"Capreolus capreolus (Linnaeus, 1758)",59.682734,10.509001,"Capreolus"
"Sciurus vulgaris Linnaeus, 1758",58.634944,6.561936,"Sciurus"
"Alces alces (Linnaeus, 1758)",67.27229,14.730553,"Alces"
"Sciurus vulgaris Linnaeus, 1758",60.866716,11.586249,"Sciurus"
"Sciurus vulgaris Linnaeus, 1758",61.679379,6.816335,"Sciurus"
"Sciurus vulgaris Linnaeus, 1758",59.245081,9.587399,"Sciurus"
"Sciurus vulgaris Linnaeus, 1758",59.421874,9.055901,"Sciurus"
